BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH,COMMENTS
MHCM01,352724,2247608,217.13,128,GSI
MHCM02,352713,2247407,222.6,105.05,GSI
MHCM03,352658,2247516,217.346,180.05,GSI
MHCM04,352624,2247318,213.59,177,GSI
MHCM05,352599.85,2247118.63,213.76,179.5,GSI
MHCM06,352694,2248376,219.937,204,GSI
MHCM07,352697,2248576,220.283,190,GSI
MHCM08,352701,2248175,218.61,197,GSI
MHCM09,352681,2247953,218.432,198.3,GSI
MHCM10,352680,2247714,215.509,188,GSI
MHCM11,352681.918,2248777.166,221.505,204,GSI
MHCM12,352691.161,2248976.035,220.9,180,GSI
MHCM13,352626.369,2249369.261,219.779,180,GSI
MHCM14,352671.115,2249175.463,219.557,180,GSI
MHCM15,352634.573,2248376.142,218.336,300,GSI
MHCM16,352622.761,2248778.595,219.334,300,GSI
MNJ001,352647.369,2248380.798,220.532,437.3,HIL/DGPS
MNJ002,352632.642,2247909.258,217.937,300,HIL/DGPS
MNJ003,352552.224,2247932.465,218.889,400,HIL/DGPS
MNJ004,352556.64,2248351.904,218.393,459,HIL/DGPS
MNJ005,352609.307,2247603.177,216.44,288.4,HIL/DGPS
MNJ006,352538.105,2247430.867,214.692,360.3,HIL/DGPS
MNJ007,352554.762,2247519.166,215.05,303,HIL/DGPS
MNJ008,352543.775,2247333.146,213.84,300,HIL/DGPS
MNJ009,352459.673,2247466.046,213.012,405,HIL/DGPS
MNJ010,352547.451,2247228.507,213.186,294.3,HIL/DGPS
MNJ011,352492.146,2247124.521,211.66,302.3,HIL/DGPS
MNJ012,352569.426,2248475.916,219.431,430.3,HIL/DGPS
MNJ013,352438,2249528,216,462.3,HIL/GPS
MNJ014,352309,2247272,211,561,HIL/GPS
MNJ015,352508,2248037,217,451,HIL/GPS
