BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH
MHCM01,352724,2247608,217.13,128
MHCM02,352713,2247407,222.6,105.05
MHCM03,352658,2247516,217.346,180.05
MHCM04,352624,2247318,213.59,177
MHCM05,352599.85,2247118.63,213.76,179.5
MHCM06,352694,2248376,219.937,204
MHCM07,352697,2248576,220.283,190
MHCM08,352701,2248175,218.61,197
MHCM09,352681,2247953,218.432,198.3
MHCM10,352680,2247714,215.509,188
MHCM11,352681.918,2248777.166,221.505,204
MHCM12,352691.161,2248976.035,220.9,180
MHCM13,352626.369,2249369.261,219.779,180
MHCM14,352671.115,2249175.463,219.557,180
MHCM15,352634.573,2248376.142,218.336,300
MHCM16,352622.761,2248778.595,219.334,300
MNJ001,352647.369,2248380.798,220.532,437.3
MNJ002,352632.642,2247909.258,217.937,300
MNJ003,352552.224,2247932.465,218.889,400
MNJ004,352556.64,2248351.904,218.393,459
MNJ005,352609.307,2247603.177,216.44,288.4
MNJ006,352538.105,2247430.867,214.692,360.3
MNJ007,352554.762,2247519.166,215.05,303.3
MNJ008,352543.775,2247333.146,213.84,300.3
MNJ009,352459.673,2247466.046,213.012,427.3
MNJ010,352547.451,2247228.507,213.186,294.3
MNJ011,352492.146,2247124.521,211.66,302.3
MNJ012,352569.426,2248475.916,219.431,430.3
MNJ013,352438.059,2249526.111,218.506,462.3
MNJ014,352309.57,2247268.164,211.662,642.3
MNJ015,352511.608,2248032.811,219.896,520
MNJ016,352406.132,2247616.141,214.706,587.3
MNJ017,352238.289,2247055.825,210.177,467.3
