holeid,from,to,Avg depth,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE,length,Structure_grp,MOC_grp,Lithology_grp
MRCB21,446,446.5,446.25,9889.0256375,11155.6441625,-282.51925,1,1,0,0.01,0.5,0,1,1
MRCB21,446.5,447,446.75,9889.1909525,11155.8414075,-282.94775,1,1,0,0.1,0.5,0,1,1
MRCB21,447,447.5,447.25,9889.3562675,11156.0386525,-283.37625,1,1,0,0.32,0.5,0,1,1
MRCB21,447.5,448,447.75,9889.5215825,11156.2358975,-283.80475,1,1,0,0.1,0.5,0,1,1
MRCB21,448,448.5,448.25,9889.6868975,11156.4331425,-284.23325,2,2,0,0.06,0.5,0,1,2
MRCB21,448.5,449,448.75,9889.8522125,11156.6303875,-284.66175,2,3,0,0.15,0.5,0,2,2
MRCB21,449,449.5,449.25,9890.0175275,11156.8276325,-285.09025,2,3,0,0.04,0.5,0,2,2
MRCB21,449.5,450,449.75,9890.1828425,11157.0248775,-285.51875,2,3,0,0.12,0.5,0,2,2
MRCB21,450,450.5,450.25,9890.3481575,11157.2221225,-285.94725,2,3,0,0.13,0.5,0,2,2
MRCB21,450.5,451,450.75,9890.5134725,11157.4193675,-286.37575,2,3,0,0.04,0.5,0,2,2
MRCB21,451,451.5,451.25,9890.6787875,11157.6166125,-286.80425,2,4,0,0.03,0.5,0,2,2
MRCB21,451.5,452,451.75,9890.8441025,11157.8138575,-287.23275,2,4,0,0.22,0.5,0,2,2
MRCB21,452,452.5,452.25,9891.0094175,11158.0111025,-287.66125,2,5,0,0.13,0.5,0,2,2
MRCB21,452.5,453,452.75,9891.1747325,11158.2083475,-288.08975,2,5,0,0.01,0.5,0,2,2
MRCB21,453,453.5,453.25,9891.3400475,11158.4055925,-288.51825,2,5,0,0.01,0.5,0,2,2
MRCB21,453.5,454,453.75,9891.5053625,11158.6028375,-288.94675,2,5,0,0.01,0.5,0,2,2
MRCB21,454,454.5,454.25,9891.6706775,11158.8000825,-289.37525,2,5,1,0.01,0.5,1,2,2
MRCB21,454.5,455,454.75,9891.8359925,11158.9973275,-289.80375,2,6,1,0.29,0.5,1,3,2
MRCB21,455,455.5,455.25,9892.0013075,11159.1945725,-290.23225,2,6,1,0.3,0.5,1,3,2
MRCB21,455.5,456,455.75,9892.1666225,11159.3918175,-290.66075,2,6,1,0.03,0.5,1,3,2
MRCB21,456,456.5,456.25,9892.3319375,11159.5890625,-291.08925,2,6,1,0.07,0.5,1,3,2
MRCB21,456.5,457,456.75,9892.4972525,11159.7863075,-291.51775,2,7,1,0.01,0.5,1,3,2
MRCB21,457,457.5,457.25,9892.6625675,11159.9835525,-291.94625,2,8,1,0.01,0.5,1,2,2
MRCB21,457.5,456,456.75,9892.4972525,11159.7863075,-291.51775,2,8,1,0.01,-1.5,0,2,3
MRCB21,475,475.5,475.25,9898.6139075,11167.0843725,-307.37225,3,8,0,0.02,0.5,0,2,3
MRCB21,475.5,476,475.75,9898.7792225,11167.2816175,-307.80075,3,8,0,0.02,0.5,0,2,3
MRCB21,476,476.5,476.25,9898.9445375,11167.4788625,-308.22925,3,8,0,0.01,0.5,0,2,3
MRCB21,476.5,477,476.75,9899.1098525,11167.6761075,-308.65775,3,8,0,0.01,0.5,0,2,3
MRCB21,477,477.5,477.25,9899.2751675,11167.8733525,-309.08625,3,8,0,0.05,0.5,0,2,3
MRCB21,477.5,478,477.75,9899.4404825,11168.0705975,-309.51475,3,8,0,0.08,0.5,0,2,2
MRCB21,478,478.5,478.25,9899.6057975,11168.2678425,-309.94325,2,8,0,0.06,0.5,0,2,2
MRCB21,478.5,479,478.75,9899.7711125,11168.4650875,-310.37175,2,8,0,0.01,0.5,0,2,2
MRCB21,479,479.5,479.25,9899.9364275,11168.6623325,-310.80025,2,9,0,0.01,0.5,0,2,2
MRCB21,479.5,480,479.75,9900.1017425,11168.8595775,-311.22875,2,9,0,0.01,0.5,0,2,2
MRCB21,480,480.5,480.25,9900.2670575,11169.0568225,-311.65725,2,9,0,0.58,0.5,0,2,2
MRCB21,480.5,481,480.75,9900.4323725,11169.2540675,-312.08575,2,9,0,0.45,0.5,0,1,2
MRCB21,481,481.5,481.25,9900.5976875,11169.4513125,-312.51425,2,10,0,0.13,0.5,0,1,2
MRCB21,481.5,482,481.75,9900.7630025,11169.6485575,-312.94275,2,10,0,0.09,0.5,0,1,2
